#t	I	B	f
17.401	1.683	657	NAN	
17.501	1.692	659	NAN	
17.601	1.6935	660.5	NAN	
17.701	1.6965	661.5	NAN	
17.801	1.7025	663	NAN	
17.901	1.71	666	NAN	
18.001	1.7265	669	NAN	
18.101	1.737	672.5	NAN	
18.201	1.7505	676	NAN	
18.301	1.7625	680	NAN	
18.401	1.7715	683	NAN	
18.501	1.782	686	NAN	
18.601	1.7985	690.5	NAN	
18.701	1.8105	694.5	NAN	
18.801	1.8285	698.5	NAN	
18.901	1.8345	701	NAN	
19.001	1.8375	703	NAN	
19.101	1.842	704.5	NAN	
19.201	1.845	705.5	NAN	
19.301	1.8525	707.5	NAN	
19.401	1.8705	711.5	NAN	
19.501	1.8795	713.5	NAN	
19.601	1.8915	717	NAN	
19.701	1.902	721	NAN	
19.801	1.9185	724.5	NAN	
19.901	1.938	730	NAN	
20.001	1.944	733	NAN	
20.101	1.9455	734.5	NAN	
20.201	1.9545	736	NAN	
20.301	1.9695	740	NAN	
20.401	1.986	743.5	NAN	
20.501	2.001	748	NAN	
20.601	2.016	752	NAN	
20.701	2.025	754.5	NAN	
20.801	2.028	756.5	NAN	
20.901	2.04	759	NAN	
21.001	2.0505	762	NAN	
21.101	2.0655	765.5	NAN	
21.201	2.079	769.5	NAN	
21.301	2.0805	771	NAN	
21.401	2.0835	771.5	NAN	
21.501	2.0835	773	NAN	
21.601	2.0865	772	NAN	
21.701	2.0865	772.5	NAN	
21.801	2.0925	774.5	NAN	
21.901	2.094	775	NAN	
22.001	2.0955	775	NAN	
22.101	2.0985	776	NAN	
22.201	2.1	776.5	NAN	
22.301	2.1075	778.5	NAN	
22.401	2.115	780	NAN	
22.501	2.124	781.5	NAN	
22.601	2.1375	785	NAN	
22.701	2.1615	790	NAN	
22.801	2.1975	797.5	NAN	
22.901	2.205	802	NAN	
23.001	2.211	804	NAN	
23.101	2.2305	808	NAN	
23.201	2.2545	813.5	NAN	
23.301	2.2665	817.5	NAN	
