 H B
0 28.360943737549487 0.0085
1 30.029234545640634 0.009000000000000001
2 28.360943737549487 0.0085
3 30.029234545640634 0.009000000000000001
4 28.456907501615476 0.009000000000000001
5 28.360943737549487 0.0085
6 30.029234545640634 0.009000000000000001
7 28.360943737549487 0.0085
8 28.456907501615476 0.009000000000000001
9 26.78861669352433 0.0085
10 28.360943737549487 0.0085
11 30.029234545640634 0.009000000000000001
12 28.456907501615476 0.009000000000000001
13 30.029234545640634 0.009000000000000001
14 30.029234545640634 0.009000000000000001
15 30.029234545640634 0.009000000000000001
16 28.360943737549487 0.0085
17 28.360943737549487 0.0085
18 31.601561589665792 0.009000000000000001
19 26.78861669352433 0.0085
20 30.029234545640634 0.009000000000000001
21 30.029234545640634 0.009000000000000001
22 26.78861669352433 0.0085
23 30.029234545640634 0.009000000000000001
24 30.029234545640634 0.009000000000000001
25 28.360943737549487 0.0085
26 30.029234545640634 0.009000000000000001
27 30.029234545640634 0.009000000000000001
28 31.601561589665792 0.009000000000000001
29 28.456907501615476 0.009000000000000001
30 31.601561589665792 0.009000000000000001
31 26.78861669352433 0.0085
32 30.029234545640634 0.009000000000000001
33 31.5055978255998 0.0085
34 28.360943737549487 0.0085
35 30.029234545640634 0.009000000000000001
36 28.360943737549487 0.0085
37 28.360943737549487 0.0085
38 30.029234545640634 0.009000000000000001
39 31.601561589665792 0.009000000000000001
40 30.029234545640634 0.009000000000000001
41 26.78861669352433 0.0085
42 30.029234545640634 0.009000000000000001
43 30.029234545640634 0.009000000000000001
44 30.029234545640634 0.009000000000000001
45 30.029234545640634 0.009000000000000001
46 30.029234545640634 0.009000000000000001
47 28.360943737549487 0.0085
48 29.933270781574645 0.0085
49 61.955594246473716 0.0115
50 116.66224267618693 0.018000000000000002
51 195.8174706428714 0.029
52 243.04633890872276 0.0375
53 301.47342401088224 0.047
54 408.60574065885226 0.0645
55 457.5988634968607 0.074
56 469.18093538943276 0.077
57 469.3728629175647 0.078
58 472.613480769681 0.0785
59 475.85409862179733 0.079
60 475.95006238586336 0.0795
61 474.28177157777213 0.079
62 474.28177157777213 0.079
63 474.28177157777213 0.079
64 477.52238942988845 0.0795
65 475.95006238586336 0.0795
66 480.76300728200476 0.08
67 511.40493123101066 0.084
68 581.2221606976102 0.0955
69 657.7125533965743 0.109
70 690.4066232099353 0.1155
71 714.8552027469066 0.12
72 752.2662536923431 0.1265
73 783.1960689335469 0.132
74 806.168285190559 0.137
75 830.5209009634643 0.14100000000000001
76 851.7288626483191 0.145
77 873.0327880972402 0.1495
78 895.8130768261203 0.1535
79 918.4974017909344 0.157
80 941.3736542838805 0.1615
81 990.078885829691 0.1695
82 1017.7680832187787 0.17450000000000002
83 1039.0720086676995 0.179
84 1053.7027708842559 0.1815
85 1076.483059613136 0.1855
86 1121.9476733068302 0.193
87 1170.748868616707 0.2015
88 1190.5764307856684 0.20650000000000002
89 1211.6884287064574 0.21
90 1257.1530424001517 0.2175
91 1288.0828576413555 0.223
92 1343.3652886554648 0.2325
93 1387.3535390692 0.2405
94 1441.0636430392838 0.25
95 1478.5706577487863 0.257
96 1525.7035622505718 0.265
97 1566.4511948121904 0.2725
98 1586.08682945302 0.2765
99 1599.1452646255516 0.279
100 1621.9255533544315 0.28300000000000003
101 1643.0375512752207 0.28650000000000003
102 1652.8553685956354 0.2885
103 1673.9673665164244 0.292
104 1717.7636894020275 0.299
105 1763.3242668597877 0.307
106 1794.2540821009916 0.3125
107 1839.7186957946856 0.32
108 1860.9266574795408 0.324
109 1880.5622921203706 0.328
110 1916.2090884936497 0.3335
111 1943.8982858827376 0.3385
112 1971.4915195077592 0.343
113 2015.287842393362 0.35000000000000003
114 2054.3671841468895 0.357
115 2080.29212696382 0.361
116 2117.6072141451905 0.367
117 2180.9432079075577 0.3775
118 2216.7819318089687 0.384
119 2262.150581738597 0.391
120 2304.374577580175 0.398
121 2341.7856285256116 0.4045
122 2392.0631871154474 0.41250000000000003
123 2419.7523845045343 0.4175
124 2449.1098727017134 0.423
125 2471.794197666528 0.4265
126 2497.815104247524 0.431
127 2523.8360108285206 0.4355
128 2567.4404061859914 0.4415
129 2598.3702214271952 0.447
130 2624.2951642441258 0.451
131 2650.3160708251226 0.4555
132 2685.962867198402 0.461
133 2728.090899275913 0.4675
134 2778.3684578657494 0.47550000000000003
135 2820.496489943261 0.482
136 2849.7580143763735 0.487
137 2872.538303105254 0.491
138 2887.16906532181 0.4935
139 2921.1475708869984 0.4985
140 2951.8854586000707 0.503
141 2984.3876008852994 0.5085000000000001
142 3032.9009049029783 0.5155
143 3068.643665040323 0.5215
144 3101.0498435614863 0.5265
145 3135.124312890741 0.532
146 3157.9046016196207 0.536
147 3211.038923005309 0.5425
148 3259.744154551119 0.5505
149 3314.8346580370962 0.559
150 3334.4702926779264 0.5630000000000001
151 3379.647015079423 0.5690000000000001
152 3408.9085395125353 0.5740000000000001
153 3478.341913922871 0.5835
154 3515.752964868307 0.59
155 3554.640379093703 0.596
156 3582.2336127187245 0.6005
157 3605.0139014476044 0.6045
158 3630.8428805004687 0.608
159 3663.249059021632 0.613
160 3692.318655926613 0.617
161 3724.62887068371 0.6215
162 3768.329229805247 0.628
163 3786.2965736379856 0.6315000000000001
164 3791.2054822981936 0.6325000000000001
165 3794.542063914376 0.6335000000000001
166 3797.782681766492 0.634
167 3817.034461351058 0.636
168 3839.718786315872 0.6395000000000001
169 3863.8794745606447 0.6425
170 3899.5262709339245 0.648
171 3912.5847061064555 0.6505
172 3917.493614766663 0.6515
173 3936.8413581152945 0.654
