16,8	1,641	633,5	NAN	
16,9	1,6545	636,5	NAN	
17	1,665	640	NAN	
17,1	1,671	642,5	NAN	
17,2	1,6755	644	NAN	
17,3	1,6845	647	NAN	
17,4	1,6935	649,5	NAN	
17,5	1,7085	653,5	NAN	
17,6	1,7205	657	NAN	
17,7	1,7295	660,5	NAN	
17,8	1,749	665	NAN	
17,9	1,773	672,5	NAN	
18	1,7715	674,5	NAN	
18,1	1,7715	675	NAN	
18,2	1,773	676	NAN	
18,3	1,773	676,5	NAN	
18,4	1,779	677,5	NAN	
18,5	1,7955	680,5	NAN	
18,6	1,812	684,5	NAN	
18,7	1,8285	689,5	NAN	
18,8	1,8405	694	NAN	
18,9	1,851	697,5	NAN	
19	1,8585	700,5	NAN	
19,1	1,875	703,5	NAN	
19,2	1,884	707,5	NAN	
19,3	1,89	710,5	NAN	
19,4	1,8945	712	NAN	
19,5	1,911	715,5	NAN	
19,6	1,92	719	NAN	
19,7	1,9305	721,5	NAN	
19,8	1,932	723,5	NAN	
19,9	1,9395	725	NAN	
20	1,95	727,5	NAN	
20,1	1,9515	729,5	NAN	
20,2	1,953	730,5	NAN	
20,3	1,9635	732,5	NAN	
20,4	1,971	734,5	NAN	
20,5	1,9785	737	NAN	
20,6	1,986	738,5	NAN	
20,7	1,992	740,5	NAN	
20,8	1,9965	742	NAN	
20,9	2,001	743,5	NAN	
21	2,0025	744,5	NAN	
21,1	2,016	747	NAN	
21,2	2,0205	748,5	NAN	
21,3	2,0265	750,5	NAN	
21,4	2,031	752	NAN	
21,5	2,0385	753,5	NAN	
21,6	2,046	756	NAN	
21,7	2,0535	758,5	NAN	
21,8	2,0835	763	NAN	
21,9	2,091	767	NAN	
22	2,0895	768,5	NAN	
22,1	2,091	769,5	NAN	
22,2	2,094	770,5	NAN	
22,3	2,1	771,5	NAN	
22,4	2,1045	773	NAN	
22,5	2,1075	774	NAN	
22,6	2,1075	774	NAN	
22,7	2,106	774,5	NAN	
22,8	2,1165	775,5	NAN	
22,9	2,1165	776,5	NAN	
23	2,124	778	NAN	
23,1	2,1375	781	NAN	
23,2	2,1435	783	NAN	
23,3	2,151	785	NAN	
23,4	2,1615	787,5	NAN	
23,5	2,172	790,5	NAN	
23,6	2,178	792	NAN	
23,7	2,181	793,5	NAN	
23,8	2,1855	794,5	NAN	
23,9	2,193	796	NAN	
24	2,2005	798	NAN	
24,1	2,2125	801	NAN	
24,2	2,217	802,5	NAN	
24,3	2,2275	805	NAN	
24,4	2,2335	807	NAN	
24,5	2,238	808	NAN	
24,6	2,2545	811,5	NAN	
24,7	2,265	814,5	NAN	
24,8	2,2725	816,5	NAN	
24,9	2,274	818	NAN	
25	2,2845	820	NAN	
25,1	2,3025	823,5	NAN	
25,2	2,307	825,5	NAN	
25,3	2,3055	826,5	NAN	
25,4	2,3175	828	NAN	
25,5	2,325	830	NAN	
25,6	2,331	831,5	NAN	
25,7	2,34	833,5	NAN	
25,8	2,343	835	NAN	
25,9	2,355	836,5	NAN	
26	2,358	838,5	NAN	
26,1	2,367	840	NAN	
26,2	2,373	842	NAN	
26,3	2,376	842,5	NAN	
26,4	2,379	843,5	NAN	
26,5	2,3835	844,5	NAN	
26,6	2,388	846	NAN	
26,7	2,397	847,5	NAN	
26,8	2,4075	850	NAN	
26,9	2,4075	851	NAN	
27	2,4135	852	NAN	
27,1	2,421	853,5	NAN	
27,2	2,433	855,5	NAN	
27,3	2,43	856	NAN	
27,4	2,43	856,5	NAN	
27,5	2,433	856,5	NAN	
27,6	2,439	857,5	NAN	
27,7	2,436	858	NAN	
27,8	2,436	858	NAN	
27,9	2,436	858	NAN	
28	2,4435	858,5	NAN	
28,1	2,4465	859,5	NAN	
28,2	2,4465	860	NAN	
28,3	2,445	860	NAN	
28,4	2,451	861,5	NAN	
28,5	2,4645	863	NAN	
28,6	2,4735	865	NAN	
28,7	2,4735	866	NAN	
28,8	2,478	866,5	NAN	
